column_name,data_type,description
candidate_id,string,Unique identifier for each candidate (format: CAND-XXXXXX)
age,integer,Age of the candidate (18-40 years)
gender,string,Gender of the candidate (Male / Female / Non-Binary)
degree,string,"Highest academic degree obtained (e.g., B.Tech, M.Tech, MBA, Ph.D)"
specialization,string,"Field of specialization (e.g., Computer Science, Data Science, Finance)"
university_tier,string,Tier of the university attended (Tier 1 / Tier 2 / Tier 3)
cgpa,float,Cumulative GPA on a 10-point scale (5.0-10.0)
years_experience,integer,Total years of professional experience (0-15)
internships_count,integer,Number of internships completed (0-8)
projects_count,integer,Number of academic or personal projects completed (0-20)
certifications_count,integer,Number of professional certifications earned (0-12)
python_skill,integer,Self-rated Python programming skill (1-10)
sql_skill,integer,Self-rated SQL/database skill (1-10)
machine_learning_skill,integer,Self-rated machine learning skill (1-10)
deep_learning_skill,integer,Self-rated deep learning skill (1-10)
communication_skill,integer,Self-rated communication and presentation skill (1-10)
leadership_skill,integer,Self-rated leadership and management skill (1-10)
github_projects,integer,Number of public GitHub repositories/projects (0-30)
kaggle_activity_score,float,Kaggle platform activity score (0.0-10.0)
hackathons_participated,integer,Number of hackathons participated in (0-15)
expected_salary_lpa,float,Expected annual salary in Lakhs Per Annum (3.0-35.0 LPA)
location,string,Preferred work location (major Indian cities)
employment_gap_months,integer,Total months of employment gap (0-24)
selected,string,Target variable - whether the candidate was selected (Yes / No)
